date,latitude,longitude
03/22/2022,48.747624,39.261834
03/22/2022,49.806518,36.070899
03/22/2022,47.126208,37.66646
03/22/2022,50.572117,30.279506
03/22/2022,50.036364,36.35662
03/22/2022,47.067896,37.483267
03/22/2022,50.562162,30.271206
03/22/2022,50.018106,36.186249
03/22/2022,47.078299,37.459176
03/22/2022,50.103843,36.267949
03/22/2022,47.102353,37.669847
03/22/2022,47.100836,37.654384
03/22/2022,48.892167,36.298222
03/22/2022,50.010638,36.286076
03/22/2022,47.10666,37.548033
03/22/2022,47.112261,37.523299
03/22/2022,47.068872,37.484206
03/22/2022,47.086517,37.520499
03/23/2022,48.019791,37.809833
03/23/2022,49.95676,36.365958
03/23/2022,51.521375,31.362476
03/23/2022,47.100027,37.5238
03/23/2022,50.471862,30.403259
03/23/2022,46.950999,32.033076
03/23/2022,51.458385,31.300422
03/23/2022,47.098636,37.633962
03/24/2022,49.97334,36.229489
03/24/2022,50.02116,36.240644
03/24/2022,50.309755,34.874164
03/24/2022,50.276541,35.976262
03/24/2022,50.000366,36.234899
03/24/2022,46.949236,32.034014
03/24/2022,49.02044,38.362788
03/24/2022,49.197367,37.278294
03/24/2022,50.0067,36.315693
03/24/2022,50.533617,30.233275
03/25/2022,48.993881,37.430907
03/25/2022,47.944612,37.677558
03/25/2022,48.132477,37.80479
03/25/2022,49.928195,36.257095
03/26/2022,49.932959,36.439842
03/26/2022,49.191468,37.278937
03/26/2022,49.188356,37.278143
03/26/2022,49.860144,24.0561
03/26/2022,49.126199,37.295855
03/27/2022,50.005879,36.352922
03/28/2022,50.002168,36.301739
03/28/2022,50.022507,36.372608
03/29/2022,47.127737,37.676387
03/29/2022,50.041429,36.358598
03/29/2022,47.114975,37.52685
03/29/2022,50.473538,34.958572
03/29/2022,51.494514,31.295028
03/29/2022,49.038941,38.373859
03/29/2022,49.97266,36.229382
03/29/2022,47.106287,37.64267
03/29/2022,46.974725,31.997233
03/30/2022,50.112004,36.108035
03/30/2022,50.692631,29.752402
03/30/2022,50.474927,34.922639
